Código;Twitter;Nome;Link_Wikipedia (Deputado);Partido;Link_Wikipedia (Partido);Coligação;Votos nominais;Nota;Estado
1;@abou_anni;Abou Anni;Abou Anni;PSL;PSL;PSL;69.256;;SÃO PAULO
2;@AcacioFavacho;Acácio Favacho;Acácio Favacho;PROS;PROS;PDT / PCdoB / MDB / PROS;19.111;;AMAPÁ
3;@AdolfoViana_;Adolfo Viana;Adolfo Viana;PSDB;PSDB;PSDB;102.603;;BAHIA
4;@adrianasounovo;Adriana Ventura;Adriana Ventura;NOVO;NOVO;NOVO;64.341;;SÃO PAULO
5;@adrianodobaldy;Adriano do Baldy;Adriano do Baldy;PP;PP;MDB / Republicanos / PP;77.729;;GOIÁS
6;@AecioNeves;Aécio Neves;Aécio Neves;PSDB;PSDB;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;105.525;;MINAS GERAIS
7;@AfonsoFlorence;Afonso Florence;Afonso Florence;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;130.548;;BAHIA
8;@DepAfonsoHamm;Afonso Hamm;Afonso Hamm;PP;PP;PSDB / PTB / Republicanos / REDE / PP;100.018;;RIO GRANDE DO SUL
9;@afonso_motta;Afonso Motta;Afonso Motta;PDT;PDT;PDT / PMB / PV;65.712;;RIO GRANDE DO SUL
10;@depaguinaldo11;Aguinaldo Ribeiro;Aguinaldo Ribeiro;PP;PP;PP / PTC / PHS / PPL;120.220;;PARAÍBA
11;@FaleiroAirton;Airton Faleiro;Airton Faleiro;PT;PT;PT / PCdoB;106.962;;PARÁ
12;–;AJ Albuquerque;AJ Albuquerque;PP;PP;PT / PCdoB / PP / PV / PL / PMN;132.307;;CEARÁ
13;@Alan_Rick;Alan Rick;Alan Rick;DEM;DEM;PP / PSDB / PSD / MDB / DEM / Solidariedade / PTC / PMN / PL / PTB / Cidadania;22.263;;ACRE
14;@Alceu_Moreira;Alceu Moreira;Alceu Moreira;MDB;MDB;MDB;100.341;;RIO GRANDE DO SUL
15;–;Alcides Rodrigues;Alcides Rodrigues;Patriota;Patriota;DEM / PROS / PRP / PDT / PSC / PODE;62.141;Eleito pelo PRP;GOIÁS
16;@oficialalesilva;Alê Silva;Alê Silva;PSL;PSL;PSL;47.662;Suspensa de atividade partidária;MINAS GERAIS
17;@AlencarBraga13;Alencar Santana;Alencar Santana;PT;PT;PT / PCdoB;67.892;;SÃO PAULO
18;@alessandromolon;Alessandro Molon;Alessandro Molon;PSB;PSB;PSB / PDT;227.914;;RIO DE JANEIRO
19;@AlexManentePPS;Alex Manente;Alex Manente;Cidadania;Cidadania;PSB / PSC / Cidadania / PTB;127.366;;SÃO PAULO
20;@depalexsantana;Alex Santana;Alex Santana;PDT;PDT;PDT;62.922;;BAHIA
21;@alefrotabrasil;Alexandre Frota;Alexandre Frota;PSDB;PSDB;PSL;155.522;Eleito pelo PSL;SÃO PAULO
22;@lexandreleite;Alexandre Leite;Alexandre Leite;DEM;DEM;PSDB / PSD / DEM / PP;116.416;;SÃO PAULO
23;@padilhando;Alexandre Padilha;Alexandre Padilha;PT;PT;PT / PCdoB;87.576;;SÃO PAULO
24;@AleSerfiotis;Alexandre Serfiotis;Alexandre Serfiotis;PSD;PSD;PSD;37.526;;RIO DE JANEIRO
25;@AlexisFonteyne;Alexis Fonteyne;Alexis Fonteyne;NOVO;NOVO;NOVO;45.298;;SÃO PAULO
26;@Alice_Portugal;Alice Portugal;Alice Portugal;PCdoB;PCdoB;PT / PCdoB / PP / PSB / PSD / PL / PODE;126.031;;BAHIA
27;@alielmachado;Aliel Machado;Aliel Machado;PSB;PSB;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;95.386;;PARANÁ
28;@dep_alinegurgel;Aline Gurgel;Aline Gurgel;Republicanos;Republicanos;Republicanos / PTB / DC / PTC / PRP;16.519;;AMAPÁ
29;@AlineSleutjes;Aline Sleutjes;Aline Sleutjes;PSL;PSL;PSL / PTC / Patriota;33.628;Suspensa por 1 ano de atividade partidária;PARANÁ
30;@Altineu;Altineu Côrtes;Altineu Côrtes;PL;PL;PODE / PL;55.367;;RIO DE JANEIRO
31;@AluisioMendesMA;Aluísio Mendes;Aluísio Mendes;PSC;PSC;PSDB / DC / PODE / REDE;105.188;Eleito pelo PODE;MARANHÃO
32;@amaronetotv;Amaro Neto;Amaro Neto;Republicanos;Republicanos;PL / Republicanos / PSL;181.813;;ESPÍRITO SANTO
33;–;André Abdon;André Abdon;PP;PP;DEM / PSDB / PP / PSC / PSD / Patriota;12.856;;AMAPÁ
34;–;André de Paula;André de Paula;PSD;PSD;PSB / PCdoB / MDB / PSD;118.641;;PERNAMBUCO
35;@aferreira2020;André Ferreira;André Ferreira;PSC;PSC;PTB / DEM / PSDB / PSC / Republicanos / PODE / Cidadania;175.834;;PERNAMBUCO
36;@andrepdt12;André Figueiredo;André Figueiredo;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;103.373;;CEARÁ
37;@DepAndreFufuca;André Fufuca;André Fufuca;PP;PP;Patriota / PDT / PP / PL;105.332;;MARANHÃO
38;@AndreJanonesAdv;André Janones;André Janones;Avante;Avante;Avante;177.457;;MINAS GERAIS
39;@DeputadaAngela;Ângela Amin;Ângela Amin;PP;PP;PSD / PP / PV;86.189;;SANTA CATARINA
40;@AntonioBrito_;Antonio Brito;Antonio Brito;PSD;PSD;PT / PCdoB / PP / PSB / PSD / PL / PODE;127.716;;BAHIA
41;@achinaglia;Arlindo Chinaglia;Arlindo Chinaglia;PT;PT;PT / PCdoB;87.449;;SÃO PAULO
